size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right,pair
19,4,5,5,7,,combine,14,0.2777777777777778,0.0,"[6 3,5,1,0,7,1,8,3 2,1,0 1,2 3,3,4 3,1]","[6 3,1,5,3,8,7,3 2,0 1,4 3,0,2 3,1,1,1]",6 3 5 1 0 7 1 8 3 2 1 0 1 2 3 3 4 3 16 3 1 5 3 8 7 3 2 0 1 4 3 0 2 3 1 1 1
19,4,5,5,7,,combineS,14,0.2777777777777778,0.0,"[6 3,5,1,0,7,1,8,3 2,1,0 1,2 3,3,4 3,1]","[6 3,1,5,3,8,7,3 2,0 1,4 3,0,2 3,1,1,1]",6 3 5 1 0 7 1 8 3 2 1 0 1 2 3 3 4 3 16 3 1 5 3 8 7 3 2 0 1 4 3 0 2 3 1 1 1
19,4,5,5,7,,greedy,14,0.2777777777777778,0.001,"[6 3,5,1,0,7,1,8,3 2,1,0 1,2 3,3,4 3,1]","[6 3,1,5,3,8,7,3 2,0 1,4 3,0,2 3,1,1,1]",6 3 5 1 0 7 1 8 3 2 1 0 1 2 3 3 4 3 16 3 1 5 3 8 7 3 2 0 1 4 3 0 2 3 1 1 1
19,4,5,5,7,0,pso,14,0.2777777777777778,0.843,"[6 3,5,1,0,7,1,8,3 2,1,0 1,2 3,3,4 3,1]","[6 3,1,5,3,8,7,3 2,0 1,4 3,0,2 3,1,1,1]",6 3 5 1 0 7 1 8 3 2 1 0 1 2 3 3 4 3 16 3 1 5 3 8 7 3 2 0 1 4 3 0 2 3 1 1 1
19,4,5,5,7,0,psoPure,14,0.2777777777777778,0.81,"[6 3,5,1,0,7,1,8,3 2,1,0 1,2 3,3,4 3,1]","[6 3,1,5,3,8,7,3 2,0 1,4 3,0,2 3,1,1,1]",6 3 5 1 0 7 1 8 3 2 1 0 1 2 3 3 4 3 16 3 1 5 3 8 7 3 2 0 1 4 3 0 2 3 1 1 1
19,4,5,5,7,0,psoComb,14,0.2777777777777778,1.856,"[6 3,5,1,0,7,1,8,3 2,1,0 1,2 3,3,4 3,1]","[6 3,1,5,3,8,7,3 2,0 1,4 3,0,2 3,1,1,1]",6 3 5 1 0 7 1 8 3 2 1 0 1 2 3 3 4 3 16 3 1 5 3 8 7 3 2 0 1 4 3 0 2 3 1 1 1
19,4,5,5,7,,FPT,12,0.3888888888888889,1.006,,,6 3 5 1 0 7 1 8 3 2 1 0 1 2 3 3 4 3 16 3 1 5 3 8 7 3 2 0 1 4 3 0 2 3 1 1 1
19,6,2,5,4,,combine,17,0.1111111111111111,0.0,"[8,0,6,4,6,5 1,2,4,2 2,0,2,5,2,1,4,9,4]","[4,8,2,6,2 2,2,6,2,5 1,9,0,4,1,0,4,5,4]",8 0 6 4 6 5 1 2 4 2 2 0 2 5 2 1 4 9 44 8 2 6 2 2 2 6 2 5 1 9 0 4 1 0 4 5 4
19,6,2,5,4,,combineS,17,0.1111111111111111,0.0,"[8,0,6,4,6,5 1,2,4,2 2,0,2,5,2,1,4,9,4]","[4,8,2,6,2 2,2,6,2,5 1,9,0,4,1,0,4,5,4]",8 0 6 4 6 5 1 2 4 2 2 0 2 5 2 1 4 9 44 8 2 6 2 2 2 6 2 5 1 9 0 4 1 0 4 5 4
19,6,2,5,4,,greedy,17,0.1111111111111111,0.001,"[8,0,6,4,6,5 1,2,4,2 2,0,2,5,2,1,4,9,4]","[4,8,2,6,2 2,2,6,2,5 1,9,0,4,1,0,4,5,4]",8 0 6 4 6 5 1 2 4 2 2 0 2 5 2 1 4 9 44 8 2 6 2 2 2 6 2 5 1 9 0 4 1 0 4 5 4
